PMID,Author Order,Identifier,Graduation Year,# of citations,Field-weighted citation impact
12379661,Other,M81,2005,105,1.98
10077668,Other,M81,2005,301,3.51
27378851,First,F52,2004,1,0.08
12228252,First,F52,2004,47,0.81
14693723,First,M82,2004,35,1.58
11078464,First,M82,2004,97,1.31
21998599,Other,M82,2004,46,2.17
16682971,Other,M82,2004,123,2.84
12930764,Other,M82,2004,53,1.57
12606510,Other,M82,2004,102,3.2
12401889,Other,M82,2004,287,2.38
12177411,Other,M82,2004,750,3.82
11701440,Other,M82,2004,11,0
11027337,Other,M82,2004,304,1.89
14614133,First,M83,2004,220,1.53
12591163,First,M83,2004,39,1.05
12424729,First,M83,2004,14,0.33
11726717,First,M83,2004,3,0
11039725,First,M83,2004,49,1.15
11428896,First,F53,2003,90,1.67
10387087,First,F53,2003,182,3.6
11566770,Other,F53,2003,56,1.18
11701440,First,M84,2003,11,0
11481397,First,M84,2003,75,2.74
11027337,First,M84,2003,304,1.89
17132824,Other,M84,2003,17,0.38
16280642,Other,M84,2003,55,3.29
12930764,Other,M84,2003,53,1.57
12606510,Other,M84,2003,102,3.2
11078464,Other,M84,2003,97,1.31
11861856,First,F54,2003,27,0.72
11504733,First,F54,2003,13,0.56
12361760,Other,F54,2003,19,0.44
11331531,First,M85,2002,51,0.78
11331530,First,M85,2002,105,1.42
No PMID,First,M86,2002,,
No PMID,First,M86,2002,,
12713285,First,M86,2002,34,0.81
21799547,Other,M86,2002,67,0
11812161,First,M87,2002,51,1.32
11156948,First,M87,2002,265,4.67
10630588,First,M87,2002,83,3.77
29486228,Last,M87,2002,4,0.94
28460005,Last,M87,2002,4,0.57
17344189,Other,M87,2002,37,1.56
16143657,Other,M87,2002,65,1.03
12015381,Other,M87,2002,158,1.89
11985577,Other,M87,2002,80,1.27
11976214,Other,M87,2002,58,1.44
11691938,Other,M87,2002,134,1.51
9159238,Other,M87,2002,119,0.58
10588887,First,M88,2001,119,1.13
10508660,First,M88,2001,45,0.65
10376599,First,M88,2001,154,2.27
15294864,Other,M88,2001,24,0.56
9003776,Other,M88,2001,66,1.43
11331531,Other,M89,2001,51,0.78
11331530,Other,M89,2001,105,1.42
11074604,First,F55,2001,41,0.47
10657901,First,F55,2001,4,0.16
12695244,First,M90,2000,64,4.18
12460096,First,M90,2000,247,29.81
11580983,First,M90,2000,35,1.45
10839744,First,M90,2000,84,3.98
10823810,First,M90,2000,,
10602673,First,M90,2000,33,0.95
10438367,First,M90,2000,123,3.23
9784505,First,M90,2000,163,3.57
9498454,First,M90,2000,260,7.95
No PMID,Last,M90,2000,,
10539855,Last,M90,2000,59,3.31
10839745,Other,M90,2000,10,0.6
10231012,Other,M90,2000,16,0
7523670,Other,M90,2000,,
7490512,Other,M90,2000,21,0
9867814,First,F56,2000,33,0.85
9556567,First,F56,2000,15,0.94
10603311,Other,F56,2000,40,2
10207011,Other,F56,2000,60,1.62
8057357,Other,F56,2000,38,0
No PMID,First,F57,2000,,
No PMID,Other,F57,2000,,
8634301,Other,F57,2000,46,1.63
7577995,Other,F57,2000,118,0
11293808,First,M91,1999,1,0
8035604,Other,M91,1999,,
10049515,First,F58,1999,13,0.6
9607589,First,F58,1999,,
8568232,First,F58,1999,55,2.03
11261789,Other,F58,1999,,
9195130,Other,F58,1999,13,0.21
8200042,Other,F58,1999,18,0
9494503,First,M92,1999,72,3.53
9434973,First,M92,1999,18,0.2
8892210,First,M92,1999,21,1.01
No PMID,Other,M92,1999,,
12874219,First,M93,1998,62,1.57
11489964,First,M93,1998,145,2.33
11258355,First,M93,1998,0,0
10890678,First,M93,1998,3,0.99
9529092,First,M93,1998,,
8550583,First,M93,1998,149,3.15
No PMID,Other,M93,1998,,
12935357,Other,M93,1998,53,1.16
9765236,Other,M93,1998,119,2.4
8016108,Other,M93,1998,52,0
9012530,First,M94,1998,47,1.95
7720570,First,M94,1998,64,0
15866168,Other,M94,1998,42,1.26
7813794,Other,M94,1998,26,0
10678751,Other,F59,1997,35,0.35
10463657,Other,F59,1997,1,0
8751660,Other,F59,1997,12,1.51
7729802,Other,F59,1997,405,0
8504018,First,M95,1997,48,0
8494728,First,M95,1997,84,0
7757959,First,M95,1997,66,0
7720041,First,M95,1997,7,0
7495704,First,M95,1997,46,0
7476979,First,M95,1997,73,0
No PMID,Other,M95,1997,,
11091634,Other,M95,1997,3,0.18
9219916,Other,M95,1997,77,2.04
8431886,Other,M95,1997,47,0
7625717,Other,M95,1997,2,0
